Слово;Частота;Ранг
ask;16;478
big;16;479
bright;16;480
start;16;481
hard;16;482
instead;16;483
crying;16;484
cried;16;485
society;16;486
pulled;16;487
play;16;488
body;16;489
sudden;16;490
savages;16;491
poor;16;492
strange;16;493
whose;16;494
clothes;15;495
concluded;15;496
horror;15;497
example;15;498
crowd;15;499
passion;15;500
am;15;501
pueblo;15;502
brought;15;503
taking;15;504
friend;15;505
friends;15;506
seven;15;507
held;15;508
deep;15;509
watson;15;510
age;15;511
civilization;15;512
seem;15;513
pain;15;514
please;15;515
entered;15;516
waiting;15;517
faces;15;518
grow;15;519
upon;15;520
crimson;15;521
meanwhile;15;522
cut;15;523
benito;15;524
o;15;525
anyhow;15;526
besides;15;527
sighed;15;528
shall;15;529
bit;15;530
box;15;531
father;15;532
pneumatic;15;533
sight;14;534
alcohol;14;535
tower;14;536
happened;14;537
hung;14;538
seconds;14;539
insisted;14;540
itself;14;541
nobody;14;542
lighthouse;14;543
strong;14;544
line;14;545
mouth;14;546
perfect;14;547
cup;14;548
pleasure;14;549
threw;14;550
helicopters;14;551
conditioned;14;552
kill;14;553
reading;14;554
kind;14;555
wonderful;14;556
electric;14;557
hear;14;558
became;14;559
voices;14;560
given;14;561
lovely;14;562
high;14;563
simply;14;564
embryos;14;565
doesnt;14;566
shut;14;567
possible;14;568
moon;14;569
thinking;14;570
spoke;14;571
square;14;572
shoulder;14;573
khaki;14;574
archcommunitysongster;14;575
youve;14;576
television;13;577
lot;13;578
awful;13;579
hypnopædic;13;580
assistant;13;581
remembered;13;582
orgyporgy;13;583
pressed;13;584
speaking;13;585
sky;13;586
flying;13;587
greater;13;588
babies;13;589
wish;13;590
whats;13;591
sweet;13;592
nine;13;593
group;13;594
alpha;13;595
rushed;13;596
low;13;597
beastly;13;598
order;13;599
twilight;13;600
remained;13;601
show;13;602
stared;13;603
rooms;13;604
strumpet;13;605
solidarity;13;606
able;13;607
liked;13;608
plane;12;609
iceland;12;610
spite;12;611
picked;12;612
sign;12;613
bottles;12;614
brave;12;615
beta;12;616
laughter;12;617
warm;12;618
community;12;619
followed;12;620
working;12;621
cheeks;12;622
scent;12;623
ears;12;624
t;12;625
neck;12;626
safe;12;627
use;12;628
screamed;12;629
matter;12;630
dr;12;631
noise;12;632
pure;12;633
carried;12;634
shot;12;635
meet;12;636
golf;12;637
dead;12;638
sort;12;639
playing;12;640
become;12;641
sang;12;642
tablets;12;643
minute;12;644
fords;12;645
meant;12;646
fine;12;647
beat;12;648
write;12;649
below;12;650
teeth;12;651
laugh;12;652
window;12;653
eighteen;12;654
interrupted;12;655
process;12;656
factory;12;657
months;12;658
believe;12;659
asleep;12;660
sixteen;12;661
hadnt;12;662
ashamed;12;663
charming;12;664
alphas;12;665
whom;11;666
skin;11;667
lost;11;668
consciousness;11;669
glad;11;670
hated;11;671
climbed;11;672
around;11;673
raised;11;674
river;11;675
workers;11;676
stop;11;677
busy;11;678
row;11;679
delta;11;680
change;11;681
nose;11;682
foot;11;683
set;11;684
hold;11;685
empty;11;686
radio;11;687
click;11;688
beside;11;689
zip;11;690
identical;11;691
run;11;692
tomorrow;11;693
finished;11;694
imagine;11;695
nearer;11;696
youd;11;697
teach;11;698
bokanovsky;11;699
feely;11;700
closed;11;701
dream;11;702
unpleasant;11;703
metres;11;704
upset;11;705
warden;11;706
try;11;707
queer;11;708
bloodsurrogate;11;709
third;10;710
large;10;711
straight;10;712
mitsima;10;713
hurt;10;714
mine;10;715
shining;10;716
wide;10;717
emotional;10;718
summer;10;719
returned;10;720
fly;10;721
fellow;10;722
tomakin;10;723
metre;10;724
flesh;10;725
fifty;10;726
terrible;10;727
othello;10;728
beginning;10;729
future;10;730
absolutely;10;731
thick;10;732
mesa;10;733
averted;10;734
listening;10;735
lower;10;736
necessary;10;737
dangerous;10;738
gods;10;739
chance;10;740
bathroom;10;741
interest;10;742
merely;10;743
propaganda;10;744
twin;10;745
naked;10;746
pause;10;747
simultaneously;10;748
worse;10;749
flung;10;750
decanting;10;751
table;10;752
showed;10;753
heads;10;754
creature;10;755
faint;10;756
gesture;10;757
nature;10;758
effort;10;759
pretty;10;760
ago;10;761
already;10;762
dancers;9;763
feelies;9;764
allow;9;765
organ;9;766
knees;9;767
snakes;9;768
tall;9;769
stuff;9;770
beating;9;771
ending;9;772
shaking;9;773
finally;9;774
funny;9;775
giving;9;776
separate;9;777
opening;9;778
store;9;779
final;9;780
paper;9;781
drank;9;782
ward;9;783
twice;9;784
whenever;9;785
werent;9;786
weve;9;787
makes;9;788
hesitated;9;789
island;9;790
peace;9;791
power;9;792
effects;9;793
bent;9;794
rest;9;795
fordship;9;796
eye;9;797
name;9;798
theyve;9;799
led;9;800
short;9;801
sharp;9;802
heather;9;803
larger;9;804
carefully;9;805
covered;9;806
scene;9;807
lets;9;808
glass;9;809
front;9;810
blushed;9;811
decided;9;812
magic;9;813
mere;9;814
sitting;9;815
mistress;9;816
testtubes;9;817
intense;9;818
angry;9;819
top;9;820
somehow;9;821
shrugged;9;822
worked;9;823
live;9;824
sun;9;825
idea;9;826
circle;9;827
murmured;9;828
view;9;829
office;9;830
laid;9;831
directors;9;832
piece;9;833
permit;9;834
hardly;9;835
kiss;9;836
aloud;9;837
predestinator;9;838
question;9;839
rhymes;8;840
single;8;841
waved;8;842
living;8;843
indeed;8;844
force;8;845
dozen;8;846
malthusian;8;847
indian;8;848
shakespeare;8;849
jesus;8;850
deal;8;851
game;8;852
heaven;8;853
space;8;854
soundtrack;8;855
result;8;856
college;8;857
solitude;8;858
goes;8;859
individual;8;860
lesson;8;861
reality;8;862
thirty;8;863
home;8;864
fact;8;865
scientific;8;866
particularly;8;867
laughing;8;868
knowledge;8;869
allowed;8;870
seems;8;871
absolute;8;872
child;8;873
forty;8;874
rack;8;875
terror;8;876
near;8;877
whereas;8;878
male;8;879
repetitions;8;880
screws;8;881
gammas;8;882
since;8;883
nearly;8;884
president;8;885
begun;8;886
mans;8;887
meat;8;888
trying;8;889
bring;8;890
wewantthe;8;891
cheek;8;892
effect;8;893
evidently;8;894
strongly;8;895
seventeen;8;896
forget;8;897
gamma;8;898
bodies;8;899
theyll;8;900
pages;8;901
machines;8;902
sick;8;903
grief;8;904
humming;8;905
hurried;8;906
huge;8;907
eggs;8;908
quickly;8;909
whisk;8;910
watching;8;911
hullo;8;912
caste;8;913
d;8;914
middle;8;915
dust;8;916
advanced;8;917
breaking;8;918
perfectly;8;919
egg;8;920
met;8;921
stone;8;922
opportunity;8;923
war;8;924
corn;8;925
secretary;8;926
odd;8;927
soon;8;928
repeating;8;929
rhythm;8;930
cry;8;931
fun;8;932
indians;8;933
stand;8;934
hum;8;935
present;8;936
louder;8;937
until;8;938
obstacle;8;939
blow;8;940
vitamin;8;941
wheels;8;942
dying;8;943
speak;8;944
impudent;8;945
important;8;946
greatest;7;947
die;7;948
fire;7;949
switch;7;950
c;7;951
elementary;7;952
crash;7;953
attention;7;954
myself;7;955
stories;7;956
woke;7;957
steps;7;958
desire;7;959
violent;7;960
morgana;7;961
none;7;962
length;7;963
forgotten;7;964
cross;7;965
consume;7;966
hurry;7;967
stupid;7;968
startled;7;969
finger;7;970
shout;7;971
flowers;7;972
astonished;7;973
miserable;7;974
park;7;975
current;7;976
ready;7;977
listen;7;978
drink;7;979
loudly;7;980
either;7;981
havent;7;982
wear;7;983
ovary;7;984
simple;7;985
afraid;7;986
dearest;7;987
thin;7;988
history;7;989
slow;7;990
ninetysix;7;991
kilometres;7;992
comfort;7;993
part;7;994
early;7;995
north;7;996
nile;7;997
died;7;998
unless;7;999
crowne;7;1,000
due;7;1,001
tropical;7;1,002
bear;7;1,003
pair;7;1,004
born;7;1,005
paid;7;1,006
independent;7;1,007
limp;7;1,008
nice;7;1,009
pointing;7;1,010
condition;7;1,011
surrogate;7;1,012
madness;7;1,013
duly;7;1,014
hogs;7;1,015
mending;7;1,016
extraordinary;7;1,017
fault;7;1,018
viviparous;7;1,019
surprised;7;1,020
choice;7;1,021
whatever;7;1,022
electromagnetic;7;1,023
shuddered;7;1,024
building;7;1,025
station;7;1,026
throat;7;1,027
touch;7;1,028
female;7;1,029
pink;7;1,030
call;7;1,031
ceased;7;1,032
film;7;1,033
corridor;7;1,034
houses;7;1,035
works;7;1,036
decanted;7;1,037
ring;7;1,038
pleasant;7;1,039
struck;7;1,040
sleeping;7;1,041
whisper;7;1,042
beauty;7;1,043
suffer;7;1,044
rate;7;1,045
flew;7;1,046
individuals;7;1,047
send;7;1,048
pierced;7;1,049
chosen;7;1,050
quarter;7;1,051
hoover;7;1,052
note;7;1,053
halfgramme;7;1,054
longest;7;1,055
hourly;7;1,056
wrote;7;1,057
aware;7;1,058
substitute;7;1,059
breath;7;1,060
stretched;7;1,061
realized;7;1,062
often;7;1,063
thunder;7;1,064
leaning;7;1,065
couple;7;1,066
shorts;7;1,067
shrill;7;1,068
hotel;7;1,069
movement;7;1,070
completely;7;1,071
beneath;7;1,072
profoundly;7;1,073
during;7;1,074
resthouse;7;1,075
presence;7;1,076
hospital;7;1,077
lady;7;1,078
sing;7;1,079
eleven;7;1,080
holding;7;1,081
close;7;1,082
heart;7;1,083
ladder;7;1,084
hypnopædia;7;1,085
flies;7;1,086
marked;7;1,087
sure;7;1,088
unhappy;7;1,089
animal;7;1,090
sixty;7;1,091
broken;7;1,092
fortyseven;7;1,093
deputy;7;1,094
finding;7;1,095
juliet;7;1,096
poison;7;1,097
happen;6;1,098
burst;6;1,099
stay;6;1,100
land;6;1,101
divided;6;1,102
adult;6;1,103
heat;6;1,104
cannot;6;1,105
hate;6;1,106
bottled;6;1,107
thank;6;1,108
millions;6;1,109
fallen;6;1,110
form;6;1,111
eat;6;1,112
rows;6;1,113
excitement;6;1,114
bell;6;1,115
late;6;1,116
trumpet;6;1,117
rich;6;1,118
drawn;6;1,119
trees;6;1,120
certain;6;1,121
difficult;6;1,122
ventured;6;1,123
provost;6;1,124
lindas;6;1,125
country;6;1,126
double;6;1,127
circular;6;1,128
roses;6;1,129
external;6;1,130
physical;6;1,131
yellow;6;1,132
shoes;6;1,133
ringing;6;1,134
comment;6;1,135
instruments;6;1,136
distorted;6;1,137
tired;6;1,138
leave;6;1,139
cat;6;1,140
halted;6;1,141
volume;6;1,142
fair;6;1,143
precious;6;1,144
wrong;6;1,145
darted;6;1,146
emerged;6;1,147
platform;6;1,148
shaw;6;1,149
walking;6;1,150
hill;6;1,151
moving;6;1,152
